GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
moshi-kotlin,com.squareup.moshi.kotlin,KotlinJsonAdapter.IndexedParameterMap,114,62,13,5,11,5,13,6,5,5
moshi-kotlin,com.squareup.moshi.kotlin,KotlinJsonAdapterKt,5,6,1,1,0,1,1,1,0,1
moshi-kotlin,com.squareup.moshi.kotlin,KotlinJsonAdapterFactory,23,543,8,68,0,71,8,32,0,2
moshi-kotlin,com.squareup.moshi.kotlin,KotlinJsonAdapter.Binding,143,50,21,3,1,8,20,7,9,6
moshi-kotlin,com.squareup.moshi.kotlin,KotlinJsonAdapter,29,336,3,33,3,47,7,18,4,3
moshi-kotlin,com.squareup.moshi.kotlin,ABSENT_VALUE,0,9,0,0,0,1,0,2,0,2
moshi-kotlin,com.squareup.moshi,KotlinJsonAdapterFactory,15,0,0,0,2,0,2,0,2,0
