GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Converter: Java 8,retrofit.converter.java8,OptionalConverter,0,12,0,0,0,4,0,2,0,2
Converter: Java 8,retrofit.converter.java8,Java8OptionalConverterFactory,0,26,0,2,0,7,0,3,0,2
