GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Converter: SimpleXML,retrofit2.converter.simplexml,SimpleXmlRequestBodyConverter,6,34,0,0,2,10,0,3,0,3
Converter: SimpleXML,retrofit2.converter.simplexml,SimpleXmlResponseBodyConverter,0,52,0,2,0,14,0,3,0,2
Converter: SimpleXML,retrofit2.converter.simplexml,SimpleXmlConverterFactory,30,39,4,2,7,10,7,4,4,4
