GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Adapter: Scala,retrofit2.adapter.scala,ScalaCallAdapterFactory,0,50,0,8,0,12,0,6,0,2
Adapter: Scala,retrofit2.adapter.scala,ResponseCallAdapter.new Callback() {...},0,21,0,0,0,5,0,3,0,3
Adapter: Scala,retrofit2.adapter.scala,BodyCallAdapter.new Callback() {...},0,34,0,2,0,7,0,4,0,3
Adapter: Scala,retrofit2.adapter.scala,BodyCallAdapter,0,21,0,0,0,7,0,3,0,3
Adapter: Scala,retrofit2.adapter.scala,ResponseCallAdapter,0,21,0,0,0,7,0,3,0,3
